,HOPITAUX DE BRABOIS CHU NANCY,540002698,rue du morvan,,54511,VANDOEUVRE LES NANCY CEDEX,Pédiatrique,non renseigné,non renseigné,rue du morvan 54511 VANDOEUVRE LES NANCY,48.649195,6.153746,Rue du Morvan 54500 Vandœuvre-lès-Nancy,0.8,street,"54, Meurthe-et-Moselle, Lorraine",54547
,CENTRE HOSPITALIER DE VERDUN,550000020,2 rue d'anthouard,BP 713,55107,VERDUN CEDEX,Généraliste,non renseigné,non renseigné,2 rue d'anthouard 55107 VERDUN,49.156519,5.381809,2 Rue d'Anthouard 55100 Verdun,0.81,housenumber,"55, Meuse, Lorraine",55545
,CENTRE HOSPITALIER DE  BAR LE DUC,550003354,1 boulevard d'argonne,BP 510,55012,BAR LE DUC CEDEX,Généraliste,non renseigné,non renseigné,1 boulevard d'argonne 55012 BAR LE DUC,48.786484,5.163041,1 Boulevard d'Argonne 55000 Bar-le-Duc,0.79,housenumber,"55, Meuse, Lorraine",55029
,CH MARIE-MADELEINE - FORBACH,570000059,2 rue therese,BP 80229,57604,FORBACH CEDEX,Adulte,non renseigné,non renseigné,2 rue therese 57604 FORBACH,49.18388,6.911395,2 Rue Thérèse 57600 Forbach,0.8,housenumber,"57, Moselle, Lorraine",57227
,CH MARIE-MADELEINE - FORBACH,570000059,2 rue therese,BP 80229,57604,FORBACH CEDEX,Pédiatrique,non renseigné,non renseigné,2 rue therese 57604 FORBACH,49.18388,6.911395,2 Rue Thérèse 57600 Forbach,0.8,housenumber,"57, Moselle, Lorraine",57227
,CH DE SARREBOURG - HÈPITAL ST NICOLAS,570000117,25 avenue du general de gaulle,BP 80269,57402,SARREBOURG CEDEX,Généraliste,non renseigné,non renseigné,25 avenue du general de gaulle 57402 SARREBOURG,48.730111,7.050453,25 Avenue du Général de Gaulle 57400 Sarrebourg,0.86,housenumber,"57, Moselle, Lorraine",57630
,HOSPITALOR HOPITAL DE ST AVOLD,570000216,rue ambroise pare,BP 70069,57502,ST AVOLD CEDEX,Généraliste,non renseigné,non renseigné,rue ambroise pare 57502 ST AVOLD,49.111017,6.722756,Rue Ambroise Paré 57500 Saint-Avold,0.7,street,"57, Moselle, Lorraine",57606
,CHR METZ-THIONVILLE - HOPITAL BEL AIR,570000349,2 rue de friscaty,BP 60327,57126,THIONVILLE CEDEX,Adulte,non renseigné,non renseigné,2 rue de friscaty 57126 THIONVILLE,49.371687,6.149406,2 Rue du Friscaty 57100 Thionville,0.69,housenumber,"57, Moselle, Lorraine",57672
,CHR METZ-THIONVILLE - HOPITAL BEL AIR,570000349,2 rue de friscaty,BP 60327,57126,THIONVILLE CEDEX,Pédiatrique,non renseigné,non renseigné,2 rue de friscaty 57126 THIONVILLE,49.371687,6.149406,2 Rue du Friscaty 57100 Thionville,0.69,housenumber,"57, Moselle, Lorraine",57672
,CHR METZ - HOPITAL DE MERCY,570000570,"1, allée du château",,57085,Metz Cedex 03,Adulte,non renseigné,non renseigné,"1, allée du château 57530 Ars-Laquenexy",49.084303,6.242444,1 Allée du Château 57530 Ars-Laquenexy,0.91,housenumber,"57, Moselle, Lorraine",57031
,CHR METZ - HOPITAL DE MERCY,570000570,"1, allée du château",,57085,Metz Cedex 03,Pédiatrique,non renseigné,non renseigné,"1, allée du château 57530 Ars-Laquenexy",49.084303,6.242444,1 Allée du Château 57530 Ars-Laquenexy,0.91,housenumber,"57, Moselle, Lorraine",57031
,HIA LEGOUEST,570000596,27 avenue de plantieres,B.P. 90001,57077,METZ CEDEX 3,Généraliste,non renseigné,non renseigné,27 avenue de plantieres 57077 METZ,49.111751,6.192092,27 Avenue de Plantières 57070 Metz,0.84,housenumber,"57, Moselle, Lorraine",57463
,HOPITAL-CLINIQUE CLAUDE BERNARD,570000646,97 rue claude bernard,BP 45050,57072,METZ CEDEX 03,Généraliste,non renseigné,non renseigné,97 rue claude bernard 57072 METZ,49.113786,6.210717,97 Rue Claude Bernard 57070 Metz,0.83,housenumber,"57, Moselle, Lorraine",57463
,CENTRE HOSPITALIER ROBERT PAX,570000901,2 rue rene francois-jolly,,57211,SARREGUEMINES CEDEX,Adulte,non renseigné,non renseigné,2 rue rene francois-jolly 57211 SARREGUEMINES,49.099797,7.095831,2 Rue René François Jolly 57200 Sarreguemines,0.81,housenumber,"57, Moselle, Lorraine",57631
,CENTRE HOSPITALIER ROBERT PAX,570000901,2 rue rene francois-jolly,,57211,SARREGUEMINES CEDEX,Pédiatrique,non renseigné,non renseigné,2 rue rene francois-jolly 57211 SARREGUEMINES,49.099797,7.095831,2 Rue René François Jolly 57200 Sarreguemines,0.81,housenumber,"57, Moselle, Lorraine",57631
,CHI E DURKHEIM PLATEAU DE LA JUSTICE,880000021,3 avenue robert schuman,BP 590,88021,EPINAL CEDEX,Généraliste,non renseigné,non renseigné,3 avenue robert schuman 88021 EPINAL,48.179134,6.453922,3 Avenue Robert Schuman 88000 Épinal,0.79,housenumber,"88, Vosges, Lorraine",88160
,CENTRE HOSPITALIER DE SAINT-DIE,880780077,26 rue du nouvel hopital,BP 246,88187,ST DIE DES VOSGES CEDEX,Généraliste,non renseigné,non renseigné,26 rue du nouvel hopital 88187 ST DIE DES VOSGES,48.289286,6.962108,26 Rue du Nouvel Hôpital 88100 Saint-Dié-des-Vosges,0.75,housenumber,"88, Vosges, Lorraine",88413
,CENTRE HOSPITALIER  DE NEUFCHATEAU,880780085,1280 avenue de la division leclerc,BP 249,88307,NEUFCHATEAU CEDEX,Généraliste,non renseigné,non renseigné,1280 avenue de la division leclerc 88307 NEUFCHATEAU,48.369937,5.70712,1280 Avenue de la Division Leclerc 88300 Neufchâteau,0.87,housenumber,"88, Vosges, Lorraine",88321
,CENTRE HOSPITALIER DE REMIREMONT,880780093,1 rue georges lang,BP 30161,88204,REMIREMONT CEDEX,Adulte,non renseigné,non renseigné,1 rue georges lang 88204 REMIREMONT,48.014242,6.593,1 Rue Georges Lang 88200 Remiremont,0.82,housenumber,"88, Vosges, Lorraine",88383
,CENTRE HOSPITALIER DE REMIREMONT,880780093,1 rue georges lang,BP 30161,88204,REMIREMONT CEDEX,Pédiatrique,non renseigné,non renseigné,1 rue georges lang 88204 REMIREMONT,48.014242,6.593,1 Rue Georges Lang 88200 Remiremont,0.82,housenumber,"88, Vosges, Lorraine",88383
,CENTRE HOSPITALIER DE VITTEL,880780101,191 avenue maurice barres,BP 129,88800,VITTEL,Généraliste,non renseigné,non renseigné,191 avenue maurice barres 88800 VITTEL,48.206097,5.948382,191 Avenue Maurice Barrès 88800 Vittel,0.92,housenumber,"88, Vosges, Lorraine",88516
