"Date_modif","Hopital","Finess","Adresse1","Adresse2","CP","Ville","Type_SU","Type_Structure","Type_etab","Adresse_Geo","Latitude","Longitude","Adresse_Geocode","Score","Precision","Departement","Code_Insee"
NA,"CENTRE HOSPITALIER D'EPERNAY",510000060,"137 rue de l hopital","Bo¯te postale 137",51205,"EPERNAY CEDEX","Généraliste","public","siège de SMUR","137 rue de l hopital 51205 EPERNAY",49.033014,3.953435,"137 Rue de l'Hôpital Auban Moet 51200 Épernay",0.64,"housenumber","51, Marne, Champagne-Ardenne",51230
NA,"CENTRE HOSPITALIER VITRY LE FRANCOIS",510000078,"2 rue charles simon","BP 413",51308,"VITRY LE FRANCOIS CEDEX","Généraliste","public","siège de SMUR","2 rue charles simon 51308 VITRY LE FRANCOIS",48.715294,4.598006,"2 Rue Charles Simon 51300 Vitry-le-François",0.85,"housenumber","51, Marne, Champagne-Ardenne",51649
NA,"POLYCLINIQUE DE COURLANCY",510000185,"38 rue de courlancy","",51057,"REIMS CEDEX","Généraliste","privé","autre","38 rue de courlancy 51057 REIMS",49.245478,4.017934,"38 Rue de Courlancy 51100 Reims",0.77,"housenumber","51, Marne, Champagne-Ardenne",51454
NA,"POLYCLINIQUE SAINT ANDRE",510000193,"18 rue de l'ecu","",51052,"REIMS CEDEX","Généraliste","privé","autre","18 rue de l'ecu 51052 REIMS",49.257132,4.040597,"18 Rue de l'Écu 51100 Reims",0.74,"housenumber","51, Marne, Champagne-Ardenne",51454
NA,"AMERICAN MEMORIAL HOSPITAL CHU REIMS",510002470,"47 rue cognacq jay","",51090,"REIMS CEDEX","Pédiatrique","public","CHU/CHR","47 rue cognacq jay 51090 REIMS",49.230874,4.016935,"47 Rue Cognacq Jay 51100 Reims",0.82,"housenumber","51, Marne, Champagne-Ardenne",51454
NA,"HOPITAL MAISON BLANCHE CHU REIMS",510004302,"45 rue cognacq jay","",51092,"REIMS CEDEX","Généraliste","public","CHU/CHR","45 rue cognacq jay 51092 REIMS",49.231591,4.018916,"45 Rue Cognacq Jay 51100 Reims",0.76,"housenumber","51, Marne, Champagne-Ardenne",51454
NA,"CENTRE HOSPITALIER DE CHAUMONT",520780032,"2 rue jeanne d'arc","",52014,"CHAUMONT CEDEX","Généraliste","public","siège de SAMU","2 rue jeanne d'arc 52014 CHAUMONT",48.121851,5.138873,"2 Rue Jeanne d'Arc 52000 Chaumont",0.78,"housenumber","52, Haute-Marne, Champagne-Ardenne",52121
NA,"CENTRE HOSPITALIER DE LANGRES",520780057,"10 rue de la charite","",52200,"LANGRES","Généraliste","public","siège de SMUR","10 rue de la charite 52200 LANGRES",47.866627,5.3366,"10 Rue de la Charité 52200 Langres",0.93,"housenumber","52, Haute-Marne, Champagne-Ardenne",52269
NA,"CENTRE HOSPITALIER GENEVIEVE DE GAULLE ANTHONIOZ",520780073,"1 rue albert schweitzer","",52115,"ST DIZIER CEDEX","Généraliste","public","siège de SMUR","1 rue albert schweitzer 52115 ST DIZIER",48.656911,4.96701,"1 Rue Albert Schweitzer 52100 Saint-Dizier",0.7,"housenumber","52, Haute-Marne, Champagne-Ardenne",52448
NA,"MATERNITE REGIONALE UNIVERSITAIRE DE NANCY",540000031,"10 rue du dr heydenreich","CS 74213",54042,"NANCY CEDEX","Pédiatrique","non renseigné","non renseigné","10 rue du docteur heydenreich 54042 NANCY",48.68125,6.190247,"10 Rue du Docteur Heydenreich 54000 Nancy",0.8,"housenumber","54, Meurthe-et-Moselle, Lorraine",54395
NA,"CENTRE HOSPITALIER SAINT CHARLES TOUL",540000049,"1 crs raymond poincare","BP 70310",54201,"TOUL CEDEX","Généraliste","non renseigné","non renseigné","1 cours raymond poincare 54201 TOUL",48.67571,5.88684,"1 Cours Raymond Poincaré 54200 Toul",0.83,"housenumber","54, Meurthe-et-Moselle, Lorraine",54528
NA,"CENTRE HOSPITALIER DE LUNEVILLE",540000080,"6 rue girardet","BP 30 206",54301,"LUNEVILLE CEDEX","Généraliste","non renseigné","non renseigné","6 rue girardet 54301 LUNEVILLE",48.589168,6.492641,"6 Rue François Girardet 54300 Lunéville",0.64,"housenumber","54, Meurthe-et-Moselle, Lorraine",54329
NA,"CENTRE HOSPITALIER DE PONT A MOUSSON",540000106,"place colombe","BP 269",54701,"PONT A MOUSSON CEDEX","Généraliste","non renseigné","non renseigné","place colombe 54701 PONT A MOUSSON",48.905899,6.051161,"Place Colombe 54700 Pont-à-Mousson",0.82,"street","54, Meurthe-et-Moselle, Lorraine",54431
NA,"POLYCLINIQUE DE GENTILLY ET SAINT DON",540000486,"2 rue marie marvingt","",54100,"NANCY","Généraliste","non renseigné","non renseigné","2 rue marie marvingt 54100 NANCY",48.701627,6.13888,"2 Rue Marie Marvingt 54100 Nancy",0.93,"housenumber","54, Meurthe-et-Moselle, Lorraine",54395
NA,"CENTRE HOSPITALIER DE BRIEY",540000767,"31 avenue albert de briey","BP 99",54151,"BRIEY CEDEX","Adulte","non renseigné","non renseigné","31 avenue albert de briey 54151 BRIEY",49.257622,5.935057,"31 Rue Albert de Briey 54150 Briey",0.68,"housenumber","54, Meurthe-et-Moselle, Lorraine",54099
NA,"CH DE MT ST MARTIN (ALPHA SANTE)",540001096,"4 rue alfred labbe","",54350,"MONT ST MARTIN","Généraliste","non renseigné","non renseigné","4 rue alfred labbe 54350 MONT ST MARTIN",49.537822,5.781606,"4 Rue Alfred Labbe 54350 Mont-Saint-Martin",0.81,"housenumber","54, Meurthe-et-Moselle, Lorraine",54382
NA,"HOPITAL CENTRAL CHU NANCY",540001138,"29 avenue de lattre de tassigny","CO 34",54035,"NANCY CEDEX","Généraliste","non renseigné","non renseigné","29 avenue de lattre de tassigny 54035 NANCY",48.683933,6.189412,"29 Avenue du Maréchal de Lattre de Tassigny 54000 Nancy",0.65,"housenumber","54, Meurthe-et-Moselle, Lorraine",54395
NA,"HOPITAUX DE BRABOIS CHU NANCY",540002698,"rue du morvan","",54511,"VANDOEUVRE LES NANCY CEDEX","Pédiatrique","non renseigné","non renseigné","rue du morvan 54511 VANDOEUVRE LES NANCY",48.649195,6.153746,"Rue du Morvan 54500 Vandœuvre-lès-Nancy",0.8,"street","54, Meurthe-et-Moselle, Lorraine",54547
NA,"CENTRE HOSPITALIER DE VERDUN",550000020,"2 rue d'anthouard","BP 713",55107,"VERDUN CEDEX","Généraliste","non renseigné","non renseigné","2 rue d'anthouard 55107 VERDUN",49.156519,5.381809,"2 Rue d'Anthouard 55100 Verdun",0.81,"housenumber","55, Meuse, Lorraine",55545
NA,"CENTRE HOSPITALIER DE  BAR LE DUC",550003354,"1 boulevard d'argonne","BP 510",55012,"BAR LE DUC CEDEX","Généraliste","non renseigné","non renseigné","1 boulevard d'argonne 55012 BAR LE DUC",48.786484,5.163041,"1 Boulevard d'Argonne 55000 Bar-le-Duc",0.79,"housenumber","55, Meuse, Lorraine",55029
NA,"CH MARIE-MADELEINE - FORBACH",570000059,"2 rue therese","BP 80229",57604,"FORBACH CEDEX","Adulte","non renseigné","non renseigné","2 rue therese 57604 FORBACH",49.18388,6.911395,"2 Rue Thérèse 57600 Forbach",0.8,"housenumber","57, Moselle, Lorraine",57227
NA,"CH MARIE-MADELEINE - FORBACH",570000059,"2 rue therese","BP 80229",57604,"FORBACH CEDEX","Pédiatrique","non renseigné","non renseigné","2 rue therese 57604 FORBACH",49.18388,6.911395,"2 Rue Thérèse 57600 Forbach",0.8,"housenumber","57, Moselle, Lorraine",57227
NA,"CH DE SARREBOURG - HÈPITAL ST NICOLAS",570000117,"25 avenue du general de gaulle","BP 80269",57402,"SARREBOURG CEDEX","Généraliste","non renseigné","non renseigné","25 avenue du general de gaulle 57402 SARREBOURG",48.730111,7.050453,"25 Avenue du Général de Gaulle 57400 Sarrebourg",0.86,"housenumber","57, Moselle, Lorraine",57630
NA,"HOSPITALOR HOPITAL DE ST AVOLD",570000216,"rue ambroise pare","BP 70069",57502,"ST AVOLD CEDEX","Généraliste","non renseigné","non renseigné","rue ambroise pare 57502 ST AVOLD",49.111017,6.722756,"Rue Ambroise Paré 57500 Saint-Avold",0.7,"street","57, Moselle, Lorraine",57606
NA,"CHR METZ-THIONVILLE - HOPITAL BEL AIR",570000349,"2 rue de friscaty","BP 60327",57126,"THIONVILLE CEDEX","Adulte","non renseigné","non renseigné","2 rue de friscaty 57126 THIONVILLE",49.371687,6.149406,"2 Rue du Friscaty 57100 Thionville",0.69,"housenumber","57, Moselle, Lorraine",57672
NA,"CHR METZ-THIONVILLE - HOPITAL BEL AIR",570000349,"2 rue de friscaty","BP 60327",57126,"THIONVILLE CEDEX","Pédiatrique","non renseigné","non renseigné","2 rue de friscaty 57126 THIONVILLE",49.371687,6.149406,"2 Rue du Friscaty 57100 Thionville",0.69,"housenumber","57, Moselle, Lorraine",57672
NA,"CHR METZ - HOPITAL DE MERCY",570000570,"1, allée du château","",57085,"Metz Cedex 03","Adulte","non renseigné","non renseigné","1, allée du château 57530 Ars-Laquenexy",49.084303,6.242444,"1 Allée du Château 57530 Ars-Laquenexy",0.91,"housenumber","57, Moselle, Lorraine",57031
NA,"CHR METZ - HOPITAL DE MERCY",570000570,"1, allée du château","",57085,"Metz Cedex 03","Pédiatrique","non renseigné","non renseigné","1, allée du château 57530 Ars-Laquenexy",49.084303,6.242444,"1 Allée du Château 57530 Ars-Laquenexy",0.91,"housenumber","57, Moselle, Lorraine",57031
NA,"HIA LEGOUEST",570000596,"27 avenue de plantieres","B.P. 90001",57077,"METZ CEDEX 3","Généraliste","non renseigné","non renseigné","27 avenue de plantieres 57077 METZ",49.111751,6.192092,"27 Avenue de Plantières 57070 Metz",0.84,"housenumber","57, Moselle, Lorraine",57463
NA,"HOPITAL-CLINIQUE CLAUDE BERNARD",570000646,"97 rue claude bernard","BP 45050",57072,"METZ CEDEX 03","Généraliste","non renseigné","non renseigné","97 rue claude bernard 57072 METZ",49.113786,6.210717,"97 Rue Claude Bernard 57070 Metz",0.83,"housenumber","57, Moselle, Lorraine",57463
NA,"CENTRE HOSPITALIER ROBERT PAX",570000901,"2 rue rene francois-jolly","",57211,"SARREGUEMINES CEDEX","Adulte","non renseigné","non renseigné","2 rue rene francois-jolly 57211 SARREGUEMINES",49.099797,7.095831,"2 Rue René François Jolly 57200 Sarreguemines",0.81,"housenumber","57, Moselle, Lorraine",57631
NA,"CENTRE HOSPITALIER ROBERT PAX",570000901,"2 rue rene francois-jolly","",57211,"SARREGUEMINES CEDEX","Pédiatrique","non renseigné","non renseigné","2 rue rene francois-jolly 57211 SARREGUEMINES",49.099797,7.095831,"2 Rue René François Jolly 57200 Sarreguemines",0.81,"housenumber","57, Moselle, Lorraine",57631
NA,"CHI E DURKHEIM PLATEAU DE LA JUSTICE",880000021,"3 avenue robert schuman","BP 590",88021,"EPINAL CEDEX","Généraliste","non renseigné","non renseigné","3 avenue robert schuman 88021 EPINAL",48.179134,6.453922,"3 Avenue Robert Schuman 88000 Épinal",0.79,"housenumber","88, Vosges, Lorraine",88160
NA,"CENTRE HOSPITALIER DE SAINT-DIE",880780077,"26 rue du nouvel hopital","BP 246",88187,"ST DIE DES VOSGES CEDEX","Généraliste","non renseigné","non renseigné","26 rue du nouvel hopital 88187 ST DIE DES VOSGES",48.289286,6.962108,"26 Rue du Nouvel Hôpital 88100 Saint-Dié-des-Vosges",0.75,"housenumber","88, Vosges, Lorraine",88413
NA,"CENTRE HOSPITALIER  DE NEUFCHATEAU",880780085,"1280 avenue de la division leclerc","BP 249",88307,"NEUFCHATEAU CEDEX","Généraliste","non renseigné","non renseigné","1280 avenue de la division leclerc 88307 NEUFCHATEAU",48.369937,5.70712,"1280 Avenue de la Division Leclerc 88300 Neufchâteau",0.87,"housenumber","88, Vosges, Lorraine",88321
NA,"CENTRE HOSPITALIER DE REMIREMONT",880780093,"1 rue georges lang","BP 30161",88204,"REMIREMONT CEDEX","Adulte","non renseigné","non renseigné","1 rue georges lang 88204 REMIREMONT",48.014242,6.593,"1 Rue Georges Lang 88200 Remiremont",0.82,"housenumber","88, Vosges, Lorraine",88383
NA,"CENTRE HOSPITALIER DE REMIREMONT",880780093,"1 rue georges lang","BP 30161",88204,"REMIREMONT CEDEX","Pédiatrique","non renseigné","non renseigné","1 rue georges lang 88204 REMIREMONT",48.014242,6.593,"1 Rue Georges Lang 88200 Remiremont",0.82,"housenumber","88, Vosges, Lorraine",88383
NA,"CENTRE HOSPITALIER DE VITTEL",880780101,"191 avenue maurice barres","BP 129",88800,"VITTEL","Généraliste","non renseigné","non renseigné","191 avenue maurice barres 88800 VITTEL",48.206097,5.948382,"191 Avenue Maurice Barrès 88800 Vittel",0.92,"housenumber","88, Vosges, Lorraine",88516
